route_id,service_id,trip_id,trip_headsign,shape_id
237155,WE,10.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,20.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,30.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,40.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,50.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,60.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,70.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,80.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,90.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,100.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,110.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,120.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,130.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,140.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,150.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,160.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,170.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,180.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,190.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,200.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,210.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,220.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,230.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,240.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,250.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,260.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,270.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,280.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,290.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,300.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,310.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,320.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,330.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
