trip_id,start_time,end_time,headway_secs
10.237155,04:30:00,08:30:00,1200
10.237155,08:30:00,20:30:00,1800
10.237155,20:30:00,25:30:00,2800
20.237155,04:30:00,08:30:00,1200
20.237155,08:30:00,20:30:00,1800
20.237155,20:30:00,25:30:00,2800
30.237155,04:30:00,08:30:00,1200
30.237155,08:30:00,20:30:00,1800
30.237155,20:30:00,25:30:00,2800
40.237155,04:30:00,08:30:00,1200
40.237155,08:30:00,20:30:00,1800
40.237155,20:30:00,25:30:00,2800
50.237155,04:30:00,08:30:00,1200
50.237155,08:30:00,20:30:00,1800
50.237155,20:30:00,25:30:00,2800
60.237155,04:30:00,08:30:00,1200
60.237155,08:30:00,20:30:00,1800
60.237155,20:30:00,25:30:00,2800
70.237155,04:30:00,08:30:00,1200
70.237155,08:30:00,20:30:00,1800
70.237155,20:30:00,25:30:00,2800
80.237155,04:30:00,08:30:00,1200
80.237155,08:30:00,20:30:00,1800
80.237155,20:30:00,25:30:00,2800
90.237155,04:30:00,08:30:00,1200
90.237155,08:30:00,20:30:00,1800
90.237155,20:30:00,25:30:00,2800
100.237155,04:30:00,08:30:00,1200
100.237155,08:30:00,20:30:00,1800
100.237155,20:30:00,25:30:00,2800
110.237155,04:30:00,08:30:00,1200
110.237155,08:30:00,20:30:00,1800
110.237155,20:30:00,25:30:00,2800
120.237155,04:30:00,08:30:00,1200
120.237155,08:30:00,20:30:00,1800
120.237155,20:30:00,25:30:00,2800
130.237155,04:30:00,08:30:00,1200
130.237155,08:30:00,20:30:00,1800
130.237155,20:30:00,25:30:00,2800
140.237155,04:30:00,08:30:00,1200
140.237155,08:30:00,20:30:00,1800
140.237155,20:30:00,25:30:00,2800
150.237155,04:30:00,08:30:00,1200
150.237155,08:30:00,20:30:00,1800
150.237155,20:30:00,25:30:00,2800
160.237155,04:30:00,08:30:00,1200
160.237155,08:30:00,20:30:00,1800
160.237155,20:30:00,25:30:00,2800
170.237155,04:30:00,08:30:00,1200
170.237155,08:30:00,20:30:00,1800
170.237155,20:30:00,25:30:00,2800
180.237155,04:30:00,08:30:00,1200
180.237155,08:30:00,20:30:00,1800
180.237155,20:30:00,25:30:00,2800
190.237155,04:30:00,08:30:00,1200
190.237155,08:30:00,20:30:00,1800
190.237155,20:30:00,25:30:00,2800
200.237155,04:30:00,08:30:00,1200
200.237155,08:30:00,20:30:00,1800
200.237155,20:30:00,25:30:00,2800
210.237155,04:30:00,08:30:00,1200
210.237155,08:30:00,20:30:00,1800
210.237155,20:30:00,25:30:00,2800
220.237155,04:30:00,08:30:00,1200
220.237155,08:30:00,20:30:00,1800
220.237155,20:30:00,25:30:00,2800
230.237155,04:30:00,08:30:00,1200
230.237155,08:30:00,20:30:00,1800
230.237155,20:30:00,25:30:00,2800
240.237155,04:30:00,08:30:00,1200
240.237155,08:30:00,20:30:00,1800
240.237155,20:30:00,25:30:00,2800
250.237155,04:30:00,08:30:00,1200
250.237155,08:30:00,20:30:00,1800
250.237155,20:30:00,25:30:00,2800
260.237155,04:30:00,08:30:00,1200
260.237155,08:30:00,20:30:00,1800
260.237155,20:30:00,25:30:00,2800
270.237155,04:30:00,08:30:00,1200
270.237155,08:30:00,20:30:00,1800
270.237155,20:30:00,25:30:00,2800
280.237155,04:30:00,08:30:00,1200
280.237155,08:30:00,20:30:00,1800
280.237155,20:30:00,25:30:00,2800
290.237155,04:30:00,08:30:00,1200
290.237155,08:30:00,20:30:00,1800
290.237155,20:30:00,25:30:00,2800
300.237155,04:30:00,08:30:00,1200
300.237155,08:30:00,20:30:00,1800
300.237155,20:30:00,25:30:00,2800
310.237155,04:30:00,08:30:00,1200
310.237155,08:30:00,20:30:00,1800
310.237155,20:30:00,25:30:00,2800
320.237155,04:30:00,08:30:00,1200
320.237155,08:30:00,20:30:00,1800
320.237155,20:30:00,25:30:00,2800
330.237155,04:30:00,08:30:00,1200
330.237155,08:30:00,20:30:00,1800
330.237155,20:30:00,25:30:00,2800
340.237155,04:30:00,08:30:00,1200
340.237155,08:30:00,20:30:00,1800
340.237155,20:30:00,25:30:00,2800
350.237155,04:30:00,08:30:00,1200
350.237155,08:30:00,20:30:00,1800
350.237155,20:30:00,25:30:00,2800
360.237155,04:30:00,08:30:00,1200
360.237155,08:30:00,20:30:00,1800
360.237155,20:30:00,25:30:00,2800
370.237155,04:30:00,08:30:00,1200
370.237155,08:30:00,20:30:00,1800
370.237155,20:30:00,25:30:00,2800
380.237155,04:30:00,08:30:00,1200
380.237155,08:30:00,20:30:00,1800
380.237155,20:30:00,25:30:00,2800
390.237155,04:30:00,08:30:00,1200
390.237155,08:30:00,20:30:00,1800
390.237155,20:30:00,25:30:00,2800
400.237155,04:30:00,08:30:00,1200
400.237155,08:30:00,20:30:00,1800
400.237155,20:30:00,25:30:00,2800
410.237155,04:30:00,08:30:00,1200
410.237155,08:30:00,20:30:00,1800
410.237155,20:30:00,25:30:00,2800
420.237155,04:30:00,08:30:00,1200
420.237155,08:30:00,20:30:00,1800
420.237155,20:30:00,25:30:00,2800
