route_id,service_id,trip_id,trip_headsign,shape_id
19914,WE,19914.01,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.0119914
19914,WE,19914.02,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.0219914
19914,WE,19914.03,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.0319914
19914,WE,19914.04,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.0419914
19914,WE,19914.05,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.0519914
19914,WE,19914.06,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.0619914
19914,WE,19914.07,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.0719914
19914,WE,19914.08,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.0819914
19914,WE,19914.09,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.0919914
19914,WE,19914.010,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01019914
19914,WE,19914.011,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01119914
19914,WE,19914.012,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01219914
19914,WE,19914.013,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01319914
19914,WE,19914.014,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01419914
19914,WE,19914.015,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01519914
19914,WE,19914.016,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01619914
19914,WE,19914.017,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01719914
19914,WE,19914.018,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01819914
19914,WE,19914.019,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.01919914
19914,WE,19914.020,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02019914
19914,WE,19914.021,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02119914
19914,WE,19914.022,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02219914
19914,WE,19914.023,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02319914
19914,WE,19914.024,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02419914
19914,WE,19914.025,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02519914
19914,WE,19914.026,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02619914
19914,WE,19914.027,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02719914
19914,WE,19914.028,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02819914
19914,WE,19914.029,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.02919914
19914,WE,19914.030,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03019914
19914,WE,19914.031,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03119914
19914,WE,19914.032,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03219914
19914,WE,19914.033,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03319914
19914,WE,19914.034,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03419914
19914,WE,19914.035,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03519914
19914,WE,19914.036,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03619914
19914,WE,19914.037,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03719914
19914,WE,19914.038,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03819914
19914,WE,19914.039,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.03919914
19914,WE,19914.040,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.04019914
19914,WE,19914.041,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.04119914
19914,WE,19914.042,[Dummy]Flughafen-Süd-to-Universität-Nord,19914.04219914
